,pitcher_name,pitcher_id,sample_size,num_pitch_types,train_acc,test_acc,best_epoch,naive_est,improvement,overfit
0,2018 Bartolo Colon,2018112526,2191.0,5.0,0.6555,0.6752,15.0,0.6244,0.0508,-0.01970000000000005
1,2018 CC Sabathia,2018282332,2513.0,5.0,0.6343,0.6614,11.0,0.4377,0.2237,-0.027100000000000013
2,2018 Fernando Rodney,2018407845,1087.0,4.0,0.6613,0.5846,19.0,0.4894,0.0952,0.07669999999999999
3,2018 Zack Greinke,2018425844,2766.0,5.0,0.5323,0.5462,15.0,0.4472,0.099,-0.013900000000000023
4,2018 Edwin Jackson,2018429719,1413.0,6.0,0.4731,0.4718,18.0,0.339,0.1328,0.0013000000000000234
5,2018 Cole Hamels,2018430935,2969.0,6.0,0.5705,0.5114,16.0,0.3068,0.2046,0.05910000000000004
6,2018 Félix Hernández,2018433587,2456.0,6.0,0.5147,0.5326,16.0,0.3229,0.2097,-0.017899999999999916
7,2018 Yusmeiro Petit,2018433589,1174.0,5.0,0.6034,0.5408,9.0,0.4651,0.0757,0.0626000000000001
8,2018 Justin Verlander,2018434378,3343.0,5.0,0.6769,0.6986,19.0,0.6144,0.0842,-0.021700000000000053
9,2018 Francisco Liriano,2018434538,2205.0,5.0,0.608,0.6014,9.0,0.4336,0.1678,0.006599999999999939
10,2018 Jason Hammel,2018434628,1996.0,5.0,0.5464,0.503,15.0,0.3883,0.1147,0.043399999999999994
11,2018 Aníbal Sánchez,2018434671,2154.0,7.0,0.5746,0.5046,19.0,0.331,0.1736,0.06999999999999995
12,2018 Brandon McCarthy,2018435221,1149.0,5.0,0.5877,0.5174,19.0,0.3768,0.1406,0.07030000000000003
13,2018 Kenley Jansen,2018445276,1038.0,3.0,0.8766,0.8654,19.0,0.843,0.0224,0.011200000000000099
14,2018 Jesse Chavez,2018445926,1323.0,6.0,0.5323,0.4713,18.0,0.3522,0.1191,0.061
15,2018 Corey Kluber,2018446372,3088.0,5.0,0.5449,0.5466,14.0,0.331,0.2156,-0.0016999999999999238
16,2018 Brad Ziegler,2018446899,1009.0,4.0,0.8492,0.834,19.0,0.7324,0.1016,0.015199999999999991
17,2018 Rich Hill,2018448179,2105.0,6.0,0.6724,0.6831,14.0,0.5553,0.1278,-0.010700000000000043
18,2018 James Shields,2018448306,2746.0,5.0,0.5687,0.5895,16.0,0.2779,0.3116,-0.02080000000000004
19,2018 Jaime García,2018448802,1362.0,5.0,0.5798,0.5689,10.0,0.3488,0.2201,0.01090000000000002
20,2018 Junior Guerra,2018448855,2234.0,5.0,0.5606,0.5653,9.0,0.3948,0.1705,-0.0047000000000000375
21,2018 Charlie Morton,2018450203,2616.0,5.0,0.5652,0.5581,18.0,0.307,0.2511,0.007099999999999995
22,2018 Jason Vargas,2018450306,1448.0,4.0,0.6123,0.6298,17.0,0.4227,0.2071,-0.01750000000000007
23,2018 Doug Fister,2018450729,1056.0,5.0,0.6768,0.6629,19.0,0.6222,0.0407,0.013899999999999912
24,2018 Wade Davis,2018451584,1082.0,5.0,0.5956,0.5978,14.0,0.4704,0.1274,-0.0021999999999999797
25,2018 Yovani Gallardo,2018451596,1633.0,5.0,0.4722,0.4401,13.0,0.3007,0.1394,0.03210000000000002
26,2018 Jon Lester,2018452657,3014.0,5.0,0.6022,0.5889,9.0,0.4545,0.1344,0.013299999999999979
27,2018 Jared Hughes,2018453172,1020.0,4.0,0.8026,0.7804,19.0,0.7716,0.0088,0.022199999999999998
28,2018 Ian Kennedy,2018453178,1983.0,6.0,0.6086,0.6008,10.0,0.5734,0.0274,0.007800000000000029
29,2018 Wade LeBlanc,2018453281,2399.0,6.0,0.5542,0.6183,11.0,0.2989,0.3194,-0.06409999999999993
30,2018 Blake Parker,2018453284,1051.0,4.0,0.7094,0.6996,17.0,0.5785,0.1211,0.009800000000000031
31,2018 Max Scherzer,2018453286,3236.0,5.0,0.5657,0.5464,17.0,0.5003,0.0461,0.019299999999999984
32,2018 Clay Buchholz,2018453329,1395.0,5.0,0.5096,0.467,16.0,0.2473,0.2197,0.04260000000000003
33,2018 Clayton Richard,2018453385,2318.0,4.0,0.66,0.6379,11.0,0.5595,0.0784,0.02210000000000001
34,2018 Jake Arrieta,2018453562,2694.0,5.0,0.5822,0.5964,11.0,0.5379,0.0585,-0.01419999999999999
35,2018 David Price,2018456034,2687.0,5.0,0.5826,0.5521,19.0,0.3331,0.219,0.03049999999999997
36,2018 Homer Bailey,2018456701,1740.0,6.0,0.528,0.5149,16.0,0.4086,0.1063,0.0131
37,2018 J. A. Happ,2018457918,2998.0,5.0,0.6535,0.64,18.0,0.5951,0.0449,0.013499999999999956
38,2018 Lance Lynn,2018458681,2856.0,5.0,0.5294,0.57,11.0,0.4443,0.1257,-0.04059999999999997
39,2018 Josh Tomlin,2018458708,1034.0,5.0,0.5484,0.4865,19.0,0.3868,0.0997,0.06190000000000001
40,2018 Tyler Clippard,2018461325,1006.0,5.0,0.5822,0.5556,19.0,0.4324,0.1232,0.026600000000000068
41,2018 Gio Gonzalez,2018461829,2896.0,4.0,0.5884,0.5622,15.0,0.2939,0.2683,0.0262
42,2018 Marco Estrada,2018462136,2390.0,4.0,0.5965,0.5903,12.0,0.4954,0.0949,0.006199999999999983
43,2018 Iván Nova,2018467100,2424.0,4.0,0.5281,0.5545,18.0,0.354,0.2005,-0.02639999999999998
44,2018 Jhoulys Chacín,2018468504,3010.0,6.0,0.5835,0.5684,17.0,0.4462,0.1222,0.015100000000000002
