game_year,game_pk,pitcher_id,pitcher_name,batter_id,batter_name,count,p_p1,p_p2,p_p3,p_p4,p_p5,p_p6,p_p7,b_p1,b_p2,b_p3,b_p4,b_p5,b_p6,b_p7,prev_pitch,pp_loc,prev_pitch_2,pp2_loc,prev_pitch_3,pp3_loc,pitch_number,count_code,inning,bat_stand,base_sit,outs_when_up,p_1,p_2,p_3,p_4,p_5,p_6,p_7
2021,632432,2021489119,2021 Wade Miley,605141,Mookie Betts,0-0,0.07789855072463768,0.010869565217391304,0.625,0.009057971014492754,0.07246376811594203,0.20471014492753623,0,0.4065934065934066,0.18681318681318682,0.04395604395604396,0.08791208791208792,0.16483516483516483,0.10989010989010989,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,605141,Mookie Betts,1-0,0.189873417721519,0,0.620253164556962,0,0,0.189873417721519,0,0.3333333333333333,0,0.6666666666666666,0,0,0,0,3,8,0,0,0,0,2,3,1,1,0,0,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,605141,Mookie Betts,1-1,0.0970873786407767,0,0.5922330097087378,0,0,0.3106796116504854,0,0.3333333333333333,0,0,0,0.3333333333333333,0.3333333333333333,0,3,6,3,8,0,0,3,4,1,1,0,0,0,0,0,0,0,1,0
2021,632432,2021489119,2021 Wade Miley,607208,Trea Turner,0-0,0.07789855072463768,0.010869565217391304,0.625,0.009057971014492754,0.07246376811594203,0.20471014492753623,0,0.43119266055045874,0.1743119266055046,0.009174311926605505,0.13761467889908258,0.1926605504587156,0.05504587155963303,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,607208,Trea Turner,1-0,0.189873417721519,0,0.620253164556962,0,0,0.189873417721519,0,1,0,0,0,0,0,0,3,13,0,0,0,0,2,3,1,1,1,0,1,0,0,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,607208,Trea Turner,2-0,0.09090909090909091,0,0.36363636363636365,0,0,0.5454545454545454,0,0.25,0.25,0,0,0,0.5,0,1,13,3,13,0,0,3,6,1,1,1,0,0,0,0,0,0,1,0
2021,632432,2021489119,2021 Wade Miley,607208,Trea Turner,2-1,0.14285714285714285,0,0.25396825396825395,0,0,0.6031746031746031,0,0,0,1,0,0,0,0,6,8,1,13,3,13,4,8,1,1,1,0,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,607208,Trea Turner,3-1,0.07692307692307693,0,0.6153846153846154,0,0,0.3076923076923077,0,0,0,1,0,0,0,0,3,13,6,8,1,13,5,10,1,1,1,0,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,607208,Trea Turner,3-2,0.20512820512820512,0,0.4358974358974359,0,0.02564102564102564,0.3333333333333333,0,0,0,1,0,0,0,0,3,6,3,13,6,8,6,12,1,1,1,0,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,607208,Trea Turner,3-2,0.20512820512820512,0,0.4358974358974359,0,0.02564102564102564,0.3333333333333333,0,0,0,1,0,0,0,0,3,8,3,6,3,13,7,12,1,1,1,0,0,0,1,0,0,0,0
